"controller","total","manifest_real","declared_untracked","generic","missing","security_mismatch_hint","readiness_percent"
"clarity/seed.controller.ts","1","1","0","0","0","0","100"
"common/notification.controller.ts","6","4","2","0","0","0","100"
"diagnostico/diagnostico.controller.ts","5","4","1","0","0","0","100"
"clarity/reportes.controller.ts","6","6","0","0","0","0","100"
"clarity/organizacion.controller.ts","2","1","1","0","0","0","100"
"clarity/proyectos.controller.ts","14","6","8","0","0","0","100"
"clarity/recurrencia.controller.ts","5","3","2","0","0","0","100"
"software/software.controller.ts","1","1","0","0","0","0","100"
"visita-cliente/visita-admin.controller.ts","14","6","8","0","0","0","100"
"visita-cliente/visita-campo.controller.ts","9","9","0","0","0","0","100"
"planning/planning.controller.ts","28","17","11","0","0","0","100"
"jornada/jornada.controller.ts","11","3","8","0","0","0","100"
"marcaje/marcaje.controller.ts","29","12","17","0","0","0","100"
"planning/controllers/agenda.controller.ts","2","2","0","0","0","0","100"
"clarity/notas.controller.ts","7","1","6","0","0","0","100"
"admin/backup/backup.controller.ts","1","0","1","0","0","0","100"
"admin/import.controller.ts","6","0","6","0","0","0","100"
"app.controller.ts","1","1","0","0","0","0","100"
"admin/admin.controller.ts","21","0","21","0","0","0","100"
"acceso/acceso.controller.ts","23","8","15","0","0","0","100"
"acceso/visibilidad.controller.ts","6","3","3","0","0","0","100"
"admin/admin-security.controller.ts","4","0","4","0","0","0","100"
"clarity/equipo.controller.ts","9","7","2","0","0","0","100"
"clarity/foco.controller.ts","6","2","4","0","0","0","100"
"clarity/kpis.controller.ts","1","1","0","0","0","0","100"
"clarity/clarity.controller.ts","31","21","10","0","0","0","100"
"auth/auth.controller.ts","5","3","2","0","0","0","100"
"campo/recorrido.controller.ts","8","8","0","0","0","0","100"
"clarity/avance-mensual.controller.ts","2","0","2","0","0","0","100"
